asset,timeframe,direction,entry_price,tp,sl,timestamp,status
USD/JPY,15m,LONG,159.02099609375,159.18404016155372,158.93947405984812,2026-08-21 22:49:27 IST,SL_HIT
USD/JPY,15m,SHORT,158.86199951171875,158.73932189905767,158.9233383180493,2026-08-22 03:43:20 IST,SL_HIT
XRP/USDT,1h,LONG,1.5094000101089478,1.694090709139525,1.4170546605936591,2026-08-22 10:48:17 IST,OPEN
AVAX/USDT,15m,SHORT,7.409999847412109,7.219707382417519,7.505146079909405,2026-08-22 15:42:57 IST,SL_HIT
BNB/USDT,15m,LONG,696.1300048828125,703.2239911871992,692.5830117306192,2026-08-22 17:47:40 IST,SL_HIT
ETH/USDT,1h,LONG,2417.889892578125,2470.2257423309165,2391.721967701729,2026-08-22 19:41:43 IST,SL_HIT
SOL/USDT,15m,LONG,93.18000030517578,94.30063936888688,92.61968077332024,2026-08-22 20:40:36 IST,TP_HIT
AVAX/USDT,15m,SHORT,7.449999809265137,7.352252369376011,7.4988735292097,2026-08-22 20:40:43 IST,SL_HIT
ADA/USDT,15m,LONG,0.2328500002622604,0.2364753688670194,0.2310373159598809,2026-08-23 01:41:21 IST,SL_HIT
SOL/USDT,15m,LONG,93.62000274658205,94.45907863979367,93.2004647999762,2026-08-23 02:41:56 IST,SL_HIT
AVAX/USDT,15m,LONG,7.484000205993652,7.583757169559458,7.434121724210749,2026-08-23 03:41:15 IST,SL_HIT
BNB/USDT,15m,LONG,689.989990234375,695.2764927981835,687.3467389524707,2026-08-23 09:11:41 IST,SL_HIT
BTC/USDT,15m,LONG,76946.2734375,77291.33886532609,76773.74072358695,2026-08-23 09:57:26 IST,SL_HIT
ETH/USDT,15m,LONG,2410.679931640625,2427.134592317873,2402.4526013020013,2026-08-23 09:57:28 IST,SL_HIT
ETH/USDT,15m,SHORT,2379.360107421875,2351.9414846715285,2393.069418797048,2026-08-23 10:50:12 IST,SL_HIT
SOL/USDT,15m,LONG,92.91000366210938,94.63179296065972,92.0491090128342,2026-08-23 10:50:14 IST,TP_HIT
BNB/USDT,1h,LONG,681.2000122070312,693.889272492626,674.8553820642339,2026-08-23 10:50:48 IST,TP_HIT
AVAX/USDT,15m,SHORT,7.396999835968018,7.31973086687017,7.435634320516941,2026-08-23 13:47:56 IST,SL_HIT
BNB/USDT,15m,LONG,688.219970703125,692.5919881619727,686.0339619737011,2026-08-23 14:47:37 IST,TP_HIT
AVAX/USDT,15m,SHORT,7.446000099182129,7.388879346507759,7.474560475519314,2026-08-23 16:41:59 IST,SL_HIT
ADA/USDT,15m,LONG,0.2240500003099441,0.2269040163138974,0.2226229923079675,2026-08-23 17:48:23 IST,TP_HIT
ADA/USDT,15m,LONG,0.2276500016450882,0.2308520913715076,0.2260489567818784,2026-08-23 18:55:17 IST,SL_HIT
ADA/USDT,15m,LONG,0.224930003285408,0.2299040208159297,0.2224429945201471,2026-08-23 20:42:33 IST,SL_HIT
USD/JPY,15m,LONG,159.1529998779297,159.3129228768909,159.07303837844907,2026-08-24 13:19:57 IST,OPEN
